LAST SEEN   TYPE     REASON              OBJECT                               MESSAGE
30s         Normal   ScalingReplicaSet   deployment/user-service              Scaled up replica set user-service-676c76dffc to 1
27s         Normal   Scheduled           pod/user-service-676c76dffc-vdcng    Successfully assigned stock-trading/user-service-676c76dffc-vdcng to devsecops-control-plane
27s         Normal   SuccessfulCreate    replicaset/user-service-676c76dffc   Created pod: user-service-676c76dffc-vdcng
25s         Normal   Pulling             pod/user-service-676c76dffc-vdcng    Pulling image "ttl.sh/stock-trading-matrix-signed-6ad79074707d@sha256:d720573cef839b9c12ee46e845f24241726b744ee584c67a002ece9866c81ba4"
24s         Normal   Pulled              pod/user-service-676c76dffc-vdcng    Successfully pulled image "ttl.sh/stock-trading-matrix-signed-6ad79074707d@sha256:d720573cef839b9c12ee46e845f24241726b744ee584c67a002ece9866c81ba4" in 1.039s (1.039s including waiting)
24s         Normal   Created             pod/user-service-676c76dffc-vdcng    Created container user-service
24s         Normal   Started             pod/user-service-676c76dffc-vdcng    Started container user-service
8s          Normal   Killing             pod/user-service-676c76dffc-vdcng    Stopping container user-service
