2026-04-06T05:43:31Z	INFO	engine.verify	internal/imageverifier.go:279	cache entry not found	{"policy.name": "verify-local-demo-image", "policy.namespace": "", "policy.apply": "All", "new.kind": "Pod", "new.namespace": "stock-trading", "new.name": "", "rule.name": "verify-local-demo-signature", "namespace": "", "policy": "verify-local-demo-image", "ruleName": "verify-local-demo-signature", "imageRef": "ttl.sh/stock-trading-d4ec05c5f73c@sha256:42e4b1f9ff6e20ec9ec3885614552472b680954f818456caa7aad6b675d36724"}
2026-04-06T05:43:31Z	INFO	engine.verify	internal/imageverifier.go:335	verifying image signatures	{"policy.name": "verify-local-demo-image", "policy.namespace": "", "policy.apply": "All", "new.kind": "Pod", "new.namespace": "stock-trading", "new.name": "", "rule.name": "verify-local-demo-signature", "image": "ttl.sh/stock-trading-d4ec05c5f73c@sha256:42e4b1f9ff6e20ec9ec3885614552472b680954f818456caa7aad6b675d36724", "attestors": 1, "attestations": 0}
2026-04-06T05:43:33Z	INFO	engine.verify	internal/imageverifier.go:517	image attestors verification succeeded	{"policy.name": "verify-local-demo-image", "policy.namespace": "", "policy.apply": "All", "new.kind": "Pod", "new.namespace": "stock-trading", "new.name": "", "rule.name": "verify-local-demo-signature", "verifiedCount": 1, "requiredCount": 1}
2026-04-06T05:43:33Z	INFO	webhooks.resource.validate	validation/validation.go:125	validation passed	{"gvk": "/v1, Kind=Pod", "gvr": {"group":"","version":"v1","resource":"pods"}, "namespace": "stock-trading", "name": "user-service-fddcb8687-dzjrh", "operation": "CREATE", "uid": "476fe907-2875-47a7-bd87-33009edb31aa", "user": {"username":"system:serviceaccount:kube-system:replicaset-controller","uid":"0af3cdb2-8120-4a19-8180-b04b3eb80ab0","groups":["system:serviceaccounts","system:serviceaccounts:kube-system","system:authenticated"],"extra":{"authentication.kubernetes.io/credential-id":["JTI=ec0fb9f3-f65a-47a6-9b0d-edb5c5c8a6df"]}}, "roles": [], "clusterroles": ["system:basic-user", "system:controller:replicaset-controller", "system:discovery", "system:public-info-viewer", "system:service-account-issuer-discovery"], "resource.gvk": "/v1, Kind=Pod", "kind": "Pod", "URLParams": "", "action": "validate", "resource": "stock-trading/Pod/user-service-fddcb8687-dzjrh", "operation": "CREATE", "gvk": "/v1, Kind=Pod", "policy": "enforce-cve-threshold"}
2026-04-06T05:43:33Z	INFO	webhooks.resource.validate	validation/validation.go:125	validation passed	{"gvk": "/v1, Kind=Pod", "gvr": {"group":"","version":"v1","resource":"pods"}, "namespace": "stock-trading", "name": "user-service-fddcb8687-dzjrh", "operation": "CREATE", "uid": "476fe907-2875-47a7-bd87-33009edb31aa", "user": {"username":"system:serviceaccount:kube-system:replicaset-controller","uid":"0af3cdb2-8120-4a19-8180-b04b3eb80ab0","groups":["system:serviceaccounts","system:serviceaccounts:kube-system","system:authenticated"],"extra":{"authentication.kubernetes.io/credential-id":["JTI=ec0fb9f3-f65a-47a6-9b0d-edb5c5c8a6df"]}}, "roles": [], "clusterroles": ["system:basic-user", "system:controller:replicaset-controller", "system:discovery", "system:public-info-viewer", "system:service-account-issuer-discovery"], "resource.gvk": "/v1, Kind=Pod", "kind": "Pod", "URLParams": "", "action": "validate", "resource": "stock-trading/Pod/user-service-fddcb8687-dzjrh", "operation": "CREATE", "gvk": "/v1, Kind=Pod", "policy": "require-sbom-annotation"}
2026-04-06T05:43:33Z	INFO	webhooks.resource.validate	validation/validation.go:125	validation passed	{"gvk": "/v1, Kind=Pod", "gvr": {"group":"","version":"v1","resource":"pods"}, "namespace": "stock-trading", "name": "user-service-fddcb8687-dzjrh", "operation": "CREATE", "uid": "476fe907-2875-47a7-bd87-33009edb31aa", "user": {"username":"system:serviceaccount:kube-system:replicaset-controller","uid":"0af3cdb2-8120-4a19-8180-b04b3eb80ab0","groups":["system:serviceaccounts","system:serviceaccounts:kube-system","system:authenticated"],"extra":{"authentication.kubernetes.io/credential-id":["JTI=ec0fb9f3-f65a-47a6-9b0d-edb5c5c8a6df"]}}, "roles": [], "clusterroles": ["system:basic-user", "system:controller:replicaset-controller", "system:discovery", "system:public-info-viewer", "system:service-account-issuer-discovery"], "resource.gvk": "/v1, Kind=Pod", "kind": "Pod", "URLParams": "", "action": "validate", "resource": "stock-trading/Pod/user-service-fddcb8687-dzjrh", "operation": "CREATE", "gvk": "/v1, Kind=Pod", "policy": "verify-local-demo-image"}
2026-04-06T08:25:17Z	INFO	setup.cluster-policy	logging/controller.go:59	resource updated	{"type": "ClusterPolicy", "name": "enforce-cve-threshold"}
2026-04-06T08:25:17Z	INFO	setup.cluster-policy	logging/controller.go:45	resource added	{"type": "ClusterPolicy", "name": "verify-local-matrix-images"}
2026-04-06T08:27:38Z	INFO	setup.cluster-policy	logging/controller.go:68	resource deleted	{"type": "ClusterPolicy", "name": "verify-local-matrix-images"}
2026-04-06T08:27:38Z	INFO	setup.cluster-policy	logging/controller.go:45	resource added	{"type": "ClusterPolicy", "name": "verify-local-matrix-images"}
2026-04-06T08:27:51Z	INFO	engine.verify	internal/imageverifier.go:129	missing image metadata in annotation	{"policy.name": "verify-local-matrix-images", "policy.namespace": "", "policy.apply": "All", "new.kind": "Deployment", "new.namespace": "stock-trading", "new.name": "user-service", "rule.name": "autogen-verify-local-matrix-signature-and-attestation", "key": "kyverno.io/verify-images"}
