LAST SEEN   TYPE     REASON              OBJECT                               MESSAGE
28s         Normal   ScalingReplicaSet   deployment/user-service              Scaled up replica set user-service-85694b4487 from 0 to 1
25s         Normal   Scheduled           pod/user-service-85694b4487-ffj2g    Successfully assigned stock-trading/user-service-85694b4487-ffj2g to desktop-worker
25s         Normal   SuccessfulCreate    replicaset/user-service-85694b4487   Created pod: user-service-85694b4487-ffj2g
24s         Normal   Pulling             pod/user-service-85694b4487-ffj2g    Pulling image "ttl.sh/stock-trading-matrix-signed-c853c0f8a3b5@sha256:8d87c68bf36634dbcd4d161ac23ac4ec22f81f326f45b820e6564e127493db8f"
22s         Normal   Pulled              pod/user-service-85694b4487-ffj2g    Successfully pulled image "ttl.sh/stock-trading-matrix-signed-c853c0f8a3b5@sha256:8d87c68bf36634dbcd4d161ac23ac4ec22f81f326f45b820e6564e127493db8f" in 2.52s (2.52s including waiting). Image size: 15287401 bytes.
22s         Normal   Created             pod/user-service-85694b4487-ffj2g    Created container: user-service
22s         Normal   Started             pod/user-service-85694b4487-ffj2g    Started container user-service
9s          Normal   Killing             pod/user-service-85694b4487-ffj2g    Stopping container user-service
